[11-Mar-2021 13:25:49 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:25:49 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5234
[11-Mar-2021 13:26:02 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:26:03 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5234
[11-Mar-2021 13:26:30 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:26:30 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5234
[11-Mar-2021 13:26:35 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:26:35 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5234
[11-Mar-2021 13:26:41 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:26:41 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5234
[11-Mar-2021 13:26:50 UTC] PHP Warning:  session_start(): Cannot start session when headers already sent in /data/wp-ravdori/wp-content/themes/ravdori/functions/wizard/BH_SessionManager.php on line 63
[11-Mar-2021 13:26:50 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:26:50 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:27:27 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:27:27 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:27:42 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
[11-Mar-2021 13:27:42 UTC] PHP Deprecated:  contextual_help <strong>לא קיים</strong> מאז גרסה 3.3.0! השתמשו ב get_current_screen()->add_help_tab(), get_current_screen()->remove_help_tab() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 5236
[11-Mar-2021 13:27:54 UTC] PHP Deprecated:  like_escape <strong>לא קיים</strong> מאז גרסה 4.0.0! השתמשו ב wpdb::esc_like() במקום. in /data/wp-ravdori/wp-includes/functions.php on line 4861
[11-Mar-2021 13:27:54 UTC] PHP Notice:  Undefined variable: post_id in /data/wp-ravdori/wp-content/themes/ravdori/functions/database/quotes.php on line 149
[11-Mar-2021 13:27:54 UTC] PHP Notice:  wpdb::prepare נקרא <strong>בצורה לא תקינה</strong>. הפרמטרים של השאילתה wpdb::prepare() חייבת לכלול placeholder. למידע נוסף כנסו ל<a href="https://wordpress.org/support/article/debugging-in-wordpress/">ניפוי תקלות בוורדפרס</a>. (הודעה זו נוספה בגרסה 3.9.0.) in /data/wp-ravdori/wp-includes/functions.php on line 5313
[11-Mar-2021 13:27:54 UTC] PHP Notice:  wpdb::prepare נקרא <strong>בצורה לא תקינה</strong>. השאילתה אינו מכילה מספר נכון של מצייני מיקום (0) לעומת מספר הארגומנטים שהוזנו (1). למידע נוסף כנסו ל<a href="https://wordpress.org/support/article/debugging-in-wordpress/">ניפוי תקלות בוורדפרס</a>. (הודעה זו נוספה בגרסה 4.8.3.) in /data/wp-ravdori/wp-includes/functions.php on line 5313
[11-Mar-2021 13:27:58 UTC] PHP Notice:  Undefined index: force_filters in /data/wp-ravdori/wp-content/plugins/enhanced-media-library/enhanced-media-library.php on line 506
