namec,dist
אביחיל,מרכז
אביטל,צפון
אבן יהודה,מרכז
אבן שמואל,דרום
אבני חפץ,מרכז
אבנת,ירושלים
אופקים,דרום
אור הגנוז,צפון
אור יהודה,תל אביב
אור עקיבא,חיפה
אורנית,מרכז
אזור,תל אביב
אחוזת ברק,צפון
אחיעזר,מרכז
איילת השחר,צפון
אילון,צפון
אילת,דרום
איתמר,מרכז
איתנים,ירושלים
אלומה,דרום
אלון מורה,מרכז
אלון שבות,ירושלים
אלוני הבשן,צפון
אלוני יצחק,חיפה
אלונים,צפון
אלי-עד,צפון
אליכין,מרכז
אליפלט,צפון
אליקים,צפון
אלישיב,מרכז
אלעד,מרכז
אלפי מנשה,מרכז
אלקנה,מרכז
אמונים,דרום
אמציה,דרום
אפיקים,צפון
אפק,צפון
אפרתה,ירושלים
אריאל,מרכז
אשבל,צפון
אשדוד,דרום
אשדות יעקב,צפון
אשל הנשיא,דרום
אשקלון,דרום
באר גנים,דרום
באר טוביה,דרום
באר יעקב,מרכז
באר שבע,דרום
בארותיים,מרכז
בוסתן הגליל,צפון
בחן,מרכז
בית אורן,חיפה
בית אל,ירושלים
בית אלעזרי,מרכז
בית אריה,ירושלים
בית ברל,מרכז
בית דגן,מרכז
בית הגדי,דרום
בית העמק,צפון
בית חורון,ירושלים
בית חלקיה,מרכז
בית חשמונאי,מרכז
בית יהושע,תל אביב
בית יצחק-שער חפר,מרכז
בית מאיר,ירושלים
מרחבים,דרום
בית עובד,מרכז
בית צבי,חיפה
בית קמה,דרום
בית רבן,מרכז
בית שאן,צפון
בית שמש,ירושלים
ביתר עילית,ירושלים
בן שמן,מרכז
בני ברק,תל אביב
בני דרור,מרכז
בני יהודה,צפון
בני נצרים,דרום
בני עטרות,מרכז
"בני עי""ש",מרכז
בני ציון,תל אביב
בנימינה-גבעת עדה,חיפה
בצת,צפון
ברכה,מרכז
ברכיה,דרום
ברקאי,חיפה
ברקן,מרכז
בת חפר,מרכז
בת ים,תל אביב
בת עין,ירושלים
גאולים,מרכז
גבים,דרום
גבע בנימין,ירושלים
גבעות בר,דרום
גבעת אבני,צפון
גבעת אלה,צפון
גבעת ברנר,מרכז
גבעת זאב,ירושלים
גבעת חיים (איחוד),מרכז
גבעת חיים (מאוחד),מרכז
גבעת יערים,ירושלים
גבעת שמואל,מרכז
גבעת שמש,ירושלים
גבעתיים,תל אביב
גדרה,מרכז
גורנות הגליל,צפון
גילון,צפון
גילת,דרום
גינוסר,צפון
גיניגר,צפון
גן יבנה,מרכז
גן נר,צפון
גן שמואל,חיפה
גני תקווה,מרכז
געש,תל אביב
גשר הזיו,צפון
גת,דרום
דבורה,צפון
דגניה א',צפון
דולב,ירושלים
דימונה,דרום
דישון,צפון
דפנה,צפון
הוד השרון,מרכז
הודיות,צפון
הושעיה,צפון
הזורע,צפון
הזורעים,צפון
הר אדר,ירושלים
הרדוף,צפון
הרצליה,תל אביב
זיתן,מרכז
זכרון יעקב,חיפה
זמרת,דרום
זנוח,ירושלים
חגי,דרום
חדרה,חיפה
חדרה,חיפה
חולון,תל אביב
חוסן,צפון
חיננית,מרכז
חיפה,חיפה
חירות,מרכז
חלמיש,ירושלים
חמד,מרכז
חמדיה,צפון
חספין,צפון
חפץ חיים,מרכז
חצור הגלילית,צפון
חצרים,דרום
חרב לאת,מרכז
חריש,חיפה
חשמונאים,ירושלים
טבריה,צפון
טירת כרמל,חיפה
טל שחר,ירושלים
טלמון,ירושלים
יבול,דרום
יבנאל,צפון
יבנה,מרכז
יגור,חיפה
יד בנימין,מרכז
יד מרדכי,דרום
"יד רמב""ם",מרכז
יהוד-מונוסון,מרכז
יטבתה,דרום
יסוד המעלה,צפון
יסודות,מרכז
יפעת,צפון
יצהר,מרכז
יקיר,מרכז
יקנעם עילית,צפון
יראון,צפון
ירוחם,דרום
ירושלים,"מנח""י"
כברי,צפון
כדורי,צפון
כוכב השחר,ירושלים
כוכב יאיר,מרכז
כוכב יעקב,ירושלים
כישור,צפון
כנות,דרום
כנרת,צפון
כפר אדומים,ירושלים
כפר ביאליק,חיפה
כפר בלום,צפון
כפר גדעון,צפון
כפר גלים,חיפה
כפר גלעדי,צפון
כפר האורנים,ירושלים
כפר המכבי,חיפה
"כפר הרא""ה",מרכז
כפר ויתקין,מרכז
כפר ורדים,צפון
כפר זוהרים,ירושלים
כפר זיתים,ירושלים
"כפר חב""ד",מרכז
כפר חסידים א',חיפה
כפר יהושע,צפון
כפר יונה,מרכז
כפר יעבץ,מרכז
כפר מימון,דרום
"כפר מל""ל",מרכז
כפר מנחם,דרום
כפר סבא,מרכז
כפר סילבר,דרום
כפר סירקין,מרכז
כפר עציון,ירושלים
כפר פינס,חיפה
כפר שמריהו,תל אביב
כפר תבור,צפון
כפר תפוח,מרכז
"כרם מהר""ל",חיפה
כרמיאל,צפון
לבון,ירושלים
לביא,צפון
להבות חביבה,חיפה
להבים,דרום
לוד,מרכז
לכיש,דרום
לפיד,מרכז
מאיר שפיה,חיפה
מבוא חורון,ירושלים
מבועים,דרום
מבשרת ציון,ירושלים
מגדל העמק,צפון
מגן,דרום
מדרשת בן גוריון,דרום
מדרשת רופין,מרכז
מודיעין-מכבים-רעות,ירושלים
מורשת,צפון
מזכרת בתיה,מרכז
מזרע,צפון
מחנה תל נוף,מרכז
מחסיה,ירושלים
מטולה,צפון
מירון,צפון
מיתר,דרום
מכמורת,מרכז
מלכישוע,צפון
מסילות,צפון
מסלול,דרום
מעגלים,דרום
מעגן מיכאל,חיפה
מעונה,צפון
מעלה אדומים,ירושלים
מעלה אפרים,ירושלים
מעלה החמישה,ירושלים
מעלה לבונה,ירושלים
מעלה מכמש,ירושלים
מעלה עמוס,ירושלים
מעלות-תרשיחא,צפון
מצפה יריחו,ירושלים
מצפה רמון,דרום
מקווה ישראל,תל אביב
מרגליות,צפון
מרום גולן,צפון
מרחביה,צפון
מרכז שוהם,מרכז
מרכז שפירא,דרום
משאבי שדה,דרום
משואה,ירושלים
משמר השרון,מרכז
מתן,מרכז
מתתיהו,ירושלים
נאות מרדכי,צפון
נאות סמדר,דרום
נהורה,דרום
נהלל,צפון
נהריה,צפון
נוב,צפון
נוה,דרום
נווה איתן,צפון
נווה זוהר,דרום
נווה ירק,מרכז
נווה שלום,ירושלים
נוף איילון,ירושלים
נופית,חיפה
נוקדים,ירושלים
נחושה,ירושלים
נחלים,מרכז
נחם,ירושלים
נטור,צפון
"ניל""י",ירושלים
ניצן,דרום
ניצנים,דרום
ניר גלים,דרום
ניר יפה,צפון
ניר עם,דרום
ניר עציון,חיפה
ניר עקיבא,דרום
ניר צבי,מרכז
נס ציונה,מרכז
נעורים,מרכז
נעלה,ירושלים
נעמן,צפון
נצרת עילית,צפון
נשר,חיפה
נתיבות,דרום
נתניה,תל אביב
סאסא,צפון
סביון,מרכז
סוסיה,דרום
סעד,דרום
ספיר,דרום
סתריה,מרכז
עברון,צפון
עומר,דרום
עופרה,ירושלים
עטרת,ירושלים
עיינות,מרכז
עין גדי,ירושלים
עין החורש,מרכז
עין המפרץ,צפון
עין השופט,צפון
עין חרוד (איחוד),צפון
עין חרוד (מאוחד),צפון
עין כרמל,חיפה
עין שמר,חיפה
עינת,מרכז
עכו,צפון
עלי,ירושלים
עלי זהב,מרכז
עמיקם,חיפה
עמיר,צפון
עמנואל,ירושלים
עפולה,צפון
עצמון שגב,צפון
ערד,דרום
עשרת,מרכז
עתלית,חיפה
עתניאל,דרום
פדואל,מרכז
פלמחים,ירושלים
פני חבר,ירושלים
פסגות,ירושלים
פרדס חנה-כרכור,חיפה
פרדסיה,מרכז
פרוד,צפון
פתח תקווה,תל אביב
צביה,צפון
צוחר,דרום
צופית,מרכז
צור הדסה,ירושלים
צור יצחק,מרכז
צור משה,מרכז
צלפון,ירושלים
צפריה,מרכז
צפת,צפון
צרעה,ירושלים
קבוצת יבנה,מרכז
קדומים,מרכז
קדימה-צורן,מרכז
קדמה,דרום
קדרון,מרכז
קוממיות,דרום
קיסריה,חיפה
קליה,ירושלים
קציר,חיפה
קצרין,צפון
קריית אונו,תל אביב
קריית ארבע,ירושלים
קריית אתא,חיפה
קריית ביאליק,חיפה
קריית גת,דרום
קריית טבעון,חיפה
קריית ים,חיפה
קריית יערים,ירושלים
קריית מוצקין,חיפה
קריית מלאכי,דרום
קריית עקרון,מרכז
קריית שמונה,צפון
קרני שומרון,מרכז
קשת,צפון
ראש העין,מרכז
ראש פינה,צפון
ראש צורים,ירושלים
ראשון לציון,מרכז
רבבה,מרכז
רגבה,צפון
רחוב,צפון
רחובות,מרכז
רכסים,חיפה
רמות,צפון
רמות השבים,מרכז
רמלה,מרכז
רמת גן,תל אביב
רמת דוד,צפון
רמת הכובש,מרכז
רמת השרון,תל אביב
רמת ישי,צפון
רמת מגשימים,צפון
רעננה,מרכז
