"scid","sname","scity","sdist"
"885","בכר","אבן יהודה","מרכז"
"1429","אבן שמואל","אבן שמואל","דרום"
"1108","אביר יעקב","אופקים","דרום"
"1110","אשלים","אופקים","דרום"
"1137","הגבעה","אופקים","דרום"
"1249","והדרת","אופקים","דרום"
"1353","מעיינות חיה","אופקים","דרום"
"886","ב''י מכתב מאליהו","אור יהודה","תל אביב"
"887","הדרים","אור יהודה","תל אביב"
"888","סביונים","אור יהודה","תל אביב"
"1186","סעדיה גאון","אור יהודה","תל אביב"
"1187","שיזף","אור יהודה","תל אביב"
"1188","אלונים","אור יהודה","תל אביב"
"1662","אור חנה","אור יהודה","תל אביב"
"889","יוספטל","אזור","תל אביב"
"1182","מימון","אזור","תל אביב"
"1183","רבין","אזור","תל אביב"
"890","היובל","אילת","דרום"
"891","מצפה ים","אילת","דרום"
"1386","חב""ד אילת","אילת","דרום"
"1388","גלים","אילת","דרום"
"1389","עציון גבר","אילת","דרום"
"1390","אופיר ","אילת","דרום"
"1391","תל""י הרי אילת","אילת","דרום"
"1392","צאלים","אילת","דרום"
"1432","אלמוג ","אילת","דרום"
"1626","אולפנת אילת","אילת","דרום"
"1467","אולפנת השומרון","אלקנה","מרכז"
"1577","תיכון דרך האבות","אפרתה","ירושלים"
"1602","אורות עציון","אפרתה","ירושלים"
"1455","נחשונים","אריאל","מרכז"
"1261","מטה","ארצי","ארצי"
"1264","בינה","ארצי","ארצי"
"1370","ותיקים בתנועה","ארצי","ארצי"
"1569","על""ה","ארצי","ארצי"
"1610","Temple Beth Am, Miami","ארצי","ארצי"
"1648","תכנית מגשימים - מרכז","ארצי","ארצי"
"1673","רמב""ם - קישניב","ארצי","ארצי"
"892","אילנות","אשדוד","דרום"
"893","ארזים ","אשדוד","דרום"
"894","אשכול ","אשדוד","דרום"
"895","המגינים","אשדוד","דרום"
"896","עלומים","אשדוד","דרום"
"1112","אחדות","אשדוד","דרום"
"1114","הרא""ה","אשדוד","דרום"
"1139","חופית","אשדוד","דרום"
"1254","שזר","אשדוד","דרום"
"1338","צפרירים","אשדוד","דרום"
"1339","שקמים","אשדוד","דרום"
"1340","תכנית מגשימים","אשדוד","דרום"
"1348","צמח","אשדוד","דרום"
"1349","אופק","אשדוד","דרום"
"1350","מקיף ד","אשדוד","דרום"
"1351","מקיף י אמי""ת ","אשדוד","דרום"
"1393","היובל","אשדוד","דרום"
"1394","חב""ד","אשדוד","דרום"
"1395","אריאל","אשדוד","דרום"
"1410","גאולים","אשדוד","דרום"
"1415","מקיף ז'","אשדוד","דרום"
"1416","אמירים ","אשדוד","דרום"
"1417","מקיף יא","אשדוד","דרום"
"1430","מקיף ט","אשדוד","דרום"
"1502","אורט ימי","אשדוד","דרום"
"1584","שקד","אשדוד","דרום"
"1617","רעים","אשדוד","דרום"
"1618","הראל","אשדוד","דרום"
"1354","אור חיה","אשקלון","דרום"
"1355","אורט אפרידר","אשקלון","דרום"
"1360","ת""ת אור מנחם חב""ד","אשקלון","דרום"
"1396","ברנע","אשקלון","דרום"
"1418","חב""ד בנים","אשקלון","דרום"
"1419","חב""ד בנות","אשקלון","דרום"
"1420","דקל","אשקלון","דרום"
"1421","רותם","אשקלון","דרום"
